decades,a period
reform,"wrong , corrupt , unsatisfactory , etc ."
adjustment,Thing
tax,a financial charge
think,Thing
tanks,an armoured fighting vehicle
ways,Thing
tax,a financial charge
code,a system
countries,a region
tax,a financial charge
imports,a good brought
percent,a number
exports,Thing
taxation,a financial charge
theory,a contemplative and rational type
home,a dwelling-place
cash,money
closing,Thing
time,the indefinite continued progress
defense,Thing
night,Thing
hotel,an establishment
side,an ancient Greek city
closing,Thing
time,the indefinite continued progress
arrival,Thing
p.m.,Thing
—,a punctuation mark
time,the indefinite continued progress
state,Thing
border,"geographic boundaries of political entities or legal jurisdictions , such as governments , sovereign states , federated states , and other subnational entities ."
crossings,Thing
destination,Thing
people,a plurality
scene,Thing
museums,an institution
heartland,Thing
it’s,Thing
calories,units of energy
nothing,a concept
cappuccino,an Italian coffee drink
restaurant,a business
home,a dwelling-place
home,a dwelling-place
pals,a medieval town
dignitaries,a list
clan,a group
people,a plurality
way,Thing
eyebrows,an area
career,an individual
book,a set
“Out,a poem
life,a characteristic distinguishing
afterlife,the concept
properties,that which belongs to or with something
deputy,Thing
government,the system
leader,both a research area
referendum,a direct vote
referendum,a direct vote
foil,Thing
government,the system
people,a plurality
years,the orbital period
meetings,Thing
“But,Thing
part.”,an upcoming American superhero film
“It,a 1986 horror novel
part”,Thing
refusal,Thing
departure,Thing
plans,typically any diagram
momentum,Thing
vote,a method
negotiations,a dialogue
clarity,Thing
light,electromagnetic radiation
independence,a condition
it’s,Thing
independence,a condition
percent,a number
percent,a number
members,Thing
party,a gathering
camp,Thing
position,Thing
years,the orbital period
percent,a number
percent,a number
support,Thing
independence,a condition
independence,a condition
“Right,used in several countries as a descriptive term
“Brexit,a commonly used term
time,the indefinite continued progress
anything,Thing
charge.”,an atom
seats,a place
politics,the process
control”,Thing
argument,a series
supporters,figures or objects usually placed on either side
referendum,a direct vote
union,Thing
percent,a number
trade,Thing
percent,a number
trade,Thing
percent,a number
hurdle,a moveable section
oil,"any neutral , nonpolar chemical substance"
gas,one of the four fundamental states of matter
revenues,the income
pounds,Thing
pounds,Thing
extraction,Thing
oil,"any neutral , nonpolar chemical substance"
rate,Thing
growth,Thing
percent,a number
budget,a quantitative expression
deficit,Thing
legislator,a person
finances,a field
“We,the first person
we’re,the first person
ability,Thing
values,best to do or what way
study,Thing
money,any item
remains,Thing
campaign,Thing
aims,Thing
access,Thing
return,Thing
budget,a quantitative expression
contributions,the process
freedom,Thing
movement,Thing
labor,Thing
citizens,the status
membership,Thing
investment,to allocate money
culture,Thing
someone’s,the name
grandmother,the parents of a person
“Look,Thing
lots,Thing
people,a plurality
people,a plurality
“And,a tragedy
in.”,an annual ranking
